frame,track,x1,y1,x2,y2,cx,cy,height,score,ema,level
2,1,504,81,577,233,540.5,157.0,152.0,0.000,0.000,GREEN
2,2,451,53,522,222,486.5,137.5,169.0,0.000,0.000,GREEN
3,2,451,53,521,220,486.0,136.5,167.0,0.000,0.000,GREEN
3,1,505,82,576,234,540.5,158.0,152.0,0.000,0.000,GREEN
4,2,450,52,520,220,485.0,136.0,168.0,0.000,0.000,GREEN
4,1,509,81,575,235,542.0,158.0,154.0,0.000,0.000,GREEN
5,2,450,52,519,220,484.5,136.0,168.0,0.000,0.000,GREEN
5,1,504,82,574,239,539.0,160.5,157.0,0.000,0.000,GREEN
6,2,451,51,521,222,486.0,136.5,171.0,0.000,0.000,GREEN
6,1,504,82,573,246,538.5,164.0,164.0,0.000,0.000,GREEN
7,2,451,51,521,222,486.0,136.5,171.0,0.000,0.000,GREEN
7,1,504,82,573,246,538.5,164.0,164.0,0.000,0.000,GREEN
8,1,501,81,572,248,536.5,164.5,167.0,0.000,0.000,GREEN
8,2,446,52,520,220,483.0,136.0,168.0,0.000,0.000,GREEN
9,2,445,52,520,219,482.5,135.5,167.0,0.000,0.000,GREEN
9,1,495,83,571,251,533.0,167.0,168.0,0.000,0.000,GREEN
10,1,496,82,570,257,533.0,169.5,175.0,0.000,0.000,GREEN
10,2,448,53,519,216,483.5,134.5,163.0,0.000,0.000,GREEN
11,2,449,53,520,220,484.5,136.5,167.0,0.000,0.000,GREEN
11,1,496,82,568,262,532.0,172.0,180.0,0.850,0.340,YELLOW
12,2,449,53,520,220,484.5,136.5,167.0,0.000,0.000,GREEN
12,1,496,82,568,262,532.0,172.0,180.0,0.850,0.544,YELLOW
13,2,452,53,520,219,486.0,136.0,166.0,0.000,0.000,GREEN
13,1,495,82,567,268,531.0,175.0,186.0,0.850,0.666,YELLOW
14,1,498,81,565,272,531.5,176.5,191.0,0.850,0.740,YELLOW
14,2,455,53,523,214,489.0,133.5,161.0,0.000,0.000,GREEN
15,2,454,53,522,211,488.0,132.0,158.0,0.000,0.000,GREEN
15,1,498,82,565,276,531.5,179.0,194.0,0.850,0.784,YELLOW
16,1,496,84,566,277,531.0,180.5,193.0,0.850,0.810,RED
16,2,460,55,521,207,490.5,131.0,152.0,0.000,0.000,GREEN
17,1,496,83,566,277,531.0,180.0,194.0,0.850,0.826,RED
17,2,460,55,521,207,490.5,131.0,152.0,0.000,0.000,GREEN
18,2,459,55,522,209,490.5,132.0,154.0,0.000,0.000,GREEN
18,1,491,84,564,281,527.5,182.5,197.0,0.850,0.836,RED
19,2,460,53,524,210,492.0,131.5,157.0,0.000,0.000,GREEN
19,1,484,88,563,282,523.5,185.0,194.0,0.850,0.841,RED
20,1,477,90,559,284,518.0,187.0,194.0,0.000,0.505,RED
21,1,473,89,559,283,516.0,186.0,194.0,0.000,0.303,YELLOW
22,1,473,90,559,283,516.0,186.5,193.0,0.000,0.182,GREEN
23,1,475,89,557,283,516.0,186.0,194.0,0.000,0.109,GREEN
24,1,475,90,557,282,516.0,186.0,192.0,0.000,0.065,GREEN
25,1,473,92,556,283,514.5,187.5,191.0,0.000,0.039,GREEN
26,1,474,91,554,283,514.0,187.0,192.0,0.000,0.024,GREEN
26,2,467,51,518,151,492.5,101.0,100.0,0.000,0.000,GREEN
27,2,467,51,518,151,492.5,101.0,100.0,0.000,0.000,GREEN
27,1,474,92,555,283,514.5,187.5,191.0,0.000,0.014,GREEN
28,2,467,51,518,154,492.5,102.5,103.0,0.000,0.000,GREEN
28,1,474,94,552,283,513.0,188.5,189.0,0.000,0.008,GREEN
