frame,track,x1,y1,x2,y2,cx,cy,height,score,level
2,1,504.6,81.9,577.9,233.5,541.3,157.7,151.7,0.000,GREEN
2,2,451.2,53.0,522.1,222.5,486.7,137.8,169.5,0.000,GREEN
3,2,451.4,53.5,521.1,220.6,486.3,137.1,167.1,0.000,GREEN
3,1,505.3,83.0,576.3,234.5,540.8,158.7,151.6,0.000,GREEN
4,2,450.5,52.9,520.2,220.5,485.3,136.7,167.6,0.000,GREEN
4,1,509.4,81.3,575.2,235.7,542.3,158.5,154.4,0.000,GREEN
5,2,450.8,52.2,519.9,220.7,485.4,136.4,168.5,0.000,GREEN
5,1,504.1,82.1,574.4,239.7,539.2,160.9,157.7,0.000,GREEN
6,2,451.9,51.5,522.0,222.6,486.9,137.1,171.1,0.000,GREEN
6,1,504.6,82.5,573.5,246.1,539.1,164.3,163.7,0.000,GREEN
7,2,451.8,51.6,521.9,223.0,486.9,137.3,171.4,0.000,GREEN
7,1,504.3,82.4,573.6,246.3,538.9,164.4,163.9,0.000,GREEN
8,1,501.5,81.9,572.2,248.9,536.8,165.4,167.0,0.000,GREEN
8,2,446.1,52.5,520.6,220.9,483.4,136.7,168.5,0.000,GREEN
9,2,445.8,52.7,520.5,219.4,483.2,136.1,166.7,0.000,GREEN
9,1,495.7,83.1,571.1,251.5,533.4,167.3,168.4,0.000,GREEN
10,1,496.4,82.0,570.7,257.4,533.6,169.7,175.4,0.000,GREEN
10,2,448.6,53.1,520.0,216.7,484.3,134.9,163.6,0.000,GREEN
11,2,449.2,53.2,520.1,220.2,484.6,136.7,166.9,0.000,GREEN
11,1,496.5,83.0,568.7,262.5,532.6,172.7,179.5,0.850,RED
12,2,449.2,53.2,520.1,220.2,484.7,136.7,167.0,0.000,GREEN
12,1,496.5,82.9,568.6,262.5,532.6,172.7,179.6,0.850,RED
13,2,452.8,53.1,520.5,219.8,486.6,136.4,166.7,0.000,GREEN
13,1,495.5,82.7,567.4,268.3,531.5,175.5,185.6,0.850,RED
14,1,498.8,81.9,565.6,272.4,532.2,177.1,190.5,0.850,RED
14,2,455.2,53.3,523.4,214.4,489.3,133.8,161.1,0.000,GREEN
15,2,454.9,53.0,523.0,211.6,489.0,132.3,158.6,0.000,GREEN
15,1,498.2,82.1,565.5,276.3,531.9,179.2,194.1,0.850,RED
16,1,496.2,84.1,566.2,277.4,531.2,180.7,193.4,0.850,RED
16,2,460.8,55.0,521.7,207.4,491.2,131.2,152.4,0.000,GREEN
